,Angular_Velocity
0,14.223850572384087
1,7.772114794298186
2,11.821012759659803
3,18.60277501300449
4,23.47390212348805
5,30.637848694771705
6,46.37419690415106
7,49.45426132204542
8,26.494332791888628
9,15.313735759017327
10,45.179082822703656
11,13.92500431550457
12,57.85725558578808
13,90.87632550727362
14,17.112603122627718
15,106.37919814421134
16,150.2126838212347
17,17.43863068436565
18,164.1566567831909
19,121.56727918699139
20,36.54816675460364
21,130.78504696654312
22,198.3549950771966
23,89.71985615408745
24,4.575228750898797
