,Angular_Velocity
0,90.83154148180432
1,16.998518970522056
2,60.26494943341592
3,95.3672166137325
4,39.926061378257586
5,19.138482471727226
6,69.63091580564094
7,42.204994748580276
8,98.83153904176181
9,26.947327991963817
10,146.13041437704865
11,232.77578588789996
12,124.51576739022072
13,21.603566958153973
14,120.84556262976375
15,278.9180737983168
16,218.44602780809075
17,339.7359868022982
18,25.165414163013406
19,336.35116394894084
20,292.3675799812411
21,107.720917596004
22,156.4304534318812
23,98.34153707906721
24,54.84925577698591
