,Angular_Velocity
0,141.45881810356138
1,115.79622296122706
2,39.65265536926923
3,13.333114611942195
4,61.04845242992544
5,107.4263408854277
6,4.643347215166023
7,43.03078882366728
8,27.96227970517482
9,18.98226516379467
10,291.0122276058563
11,81.71300114267346
12,158.68954427665713
13,678.2843492887206
14,284.92280122637874
15,433.5350810219131
16,232.8789464396717
17,115.30994755546637
18,531.9155850109297
19,517.2008720214108
20,277.3011933546899
21,153.88077353762665
22,197.27755585225864
23,310.5884458315708
24,470.1676235148729
