,Angular_Velocity
0,17.145703487924298
1,25.96714401717204
2,25.276166783640576
3,12.938135508739018
4,0.2588749523062637
5,24.30924276483294
6,37.956748548584834
7,45.76160479238588
8,50.98566917667336
9,92.06666659402464
10,135.42137469499787
11,13.067985987240823
12,256.2033434618688
13,247.59475494654643
14,45.878389400485666
15,313.58723853863654
16,178.3227070601876
17,53.342600485895034
18,317.69459467573256
19,132.59664981157766
20,84.79447153652146
21,304.73233220976147
22,90.18167810309676
23,78.12526991185608
24,277.01701840173644
