,Angular_Velocity
0,3.9587650614118073
1,13.414797905158414
2,13.370216394773273
3,12.259731780390808
4,5.982336233267002
5,16.967371551557743
6,26.751621298238632
7,9.430421160204508
8,31.54626008139395
9,46.88661795408937
10,59.10713988549915
11,15.566894799902203
12,39.12287598345307
13,41.38948780964498
14,39.06377180506445
15,4.78561479965572
16,91.28450537577518
17,60.54925571697017
18,23.50651561792925
19,61.99475833750299
20,71.89149665800697
21,97.3977945413688
22,44.60078844890636
23,7.1614071948046725
24,33.61491401499668
