,Angular_Velocity
0,8.510628045963454
1,9.020461994505235
2,5.754154064624616
3,1.022505758476481
4,6.732988165413795
5,14.86942365422471
6,18.58469403207407
7,27.932568277010162
8,21.115090158372983
9,17.054555338819476
10,5.697919978771137
11,27.84675695104077
12,22.213120462707277
13,58.16396372065441
14,61.62394468593731
15,44.643663666595586
16,34.08488297175559
17,81.64657811530013
18,70.32396277456891
19,27.574165036760522
20,37.76160863624857
21,81.82067615567279
22,47.642065337544366
23,30.369816504399015
24,61.68032927644973
