,Angular_Velocity
0,24.773367346874164
1,33.00525421669845
2,63.3075108500581
3,119.74783252406759
4,208.05767750580563
5,79.5267291346613
6,6.122304997092898
7,74.90066395437579
8,251.98020810135856
9,226.89821260760687
10,53.915472774196104
11,1.941610975901107
12,24.974936248152655
13,57.39670678762549
14,13.613885725035905
15,10.766437581208653
16,24.235407399422044
17,17.007816411217686
18,20.4792015526939
19,15.179749002521152
20,4.372099252243414
21,1.4751459662237039
22,1.987795369786568
23,1.4714507054379649
24,31.52750107363438
