,Angular_Velocity
0,44.06097095175507
1,56.20990110240492
2,65.71039080826132
3,58.204278762241515
4,47.45989919157779
5,16.326538961217725
6,49.36544612345877
7,86.85707401954625
8,126.30185010482785
9,85.0369249834635
10,57.16503275135942
11,24.414881613030325
12,51.03708436696565
13,66.06461992839068
14,48.07845497893891
15,38.436350893674714
16,53.91469884844648
17,12.409429935555368
18,11.071302004883833
19,31.463600253083108
20,12.502643167306543
21,3.52743302099696
22,0.06498248492074524
23,6.2639355556546095
24,5.519007672703856
