,Angular_Velocity
0,63.463090743334845
1,67.96956653808688
2,36.35230977958469
3,10.881806867729704
4,68.90948804502503
5,142.23182925352486
6,145.77855759890275
7,99.57944902691118
8,11.203494222769411
9,74.739713392323
10,312.5727956542456
11,192.4831615422637
12,6.656643159016118
13,103.87458022416564
14,68.32950482587296
15,2.3922132152413322
16,14.55068914381625
17,28.121955482056254
18,31.064217857883452
19,69.82453058779286
20,58.22102437071802
21,24.6544796135365
22,61.955022042360696
23,93.9197226247161
24,32.03090588286765
