,Angular_Velocity
0,27.58263809436352
1,29.704991327955497
2,36.185675349510106
3,45.960295471349056
4,40.286635061880474
5,13.420147035301962
6,27.33321471465444
7,43.51547008849046
8,23.361767201805016
9,64.85867225630732
10,87.36682604301309
11,61.63992516680372
12,79.3473944623135
13,47.45343346895471
14,0.40224519371295925
15,43.82873432721383
16,13.883891412035194
17,70.07220548388796
18,37.62375625879571
19,13.93682316968143
20,52.20957376737071
21,9.047193514266143
22,8.806784801168236
23,19.450765295612687
24,20.084960972454724
