,Angular_Velocity
0,15.98584276026237
1,14.55981921561564
2,10.976746916467558
3,0.4964685624122444
4,24.798397235921026
5,28.17393748757741
6,0.7362598092652318
7,17.301719866233416
8,18.50162024124949
9,36.934054145785495
10,61.22830146973298
11,72.19098231394241
12,6.206242130380634
13,56.30540015770001
14,110.33645438419163
15,30.73777547418053
16,32.57028578511865
17,62.2337199834983
18,29.6937520653891
19,21.781191432817312
20,41.77471010571912
21,76.86250166657912
22,8.383298707415564
23,20.77278610692469
24,54.18537315863551
