,Angular_Velocity
0,77.18880327071662
1,16.087403813881767
2,47.848296785853016
3,61.82449015251146
4,32.39020629880771
5,7.4023236620370465
6,25.58028471689714
7,32.65989281660093
8,48.82555766179091
9,34.715047683830115
10,39.85340780764259
11,0.20657979185649564
12,18.6504515438597
13,16.16500343869284
14,38.643696786683236
15,194.26135001551097
16,120.37585119785894
17,56.88719766029886
18,71.83932992989078
19,71.92329284032338
20,10.977105633560909
21,99.47268937396653
22,73.94817889847904
23,61.57638086021639
24,129.85919692035355
