,Angular_Velocity
0,9.391823305173629
1,13.58833975743528
2,19.015754311627074
3,10.50446915829829
4,17.201369705229254
5,35.74781548743048
6,45.932556646666164
7,47.170690285085676
8,22.168311551390047
9,34.720133004063285
10,23.433419083655842
11,28.041998467120397
12,9.086226976311734
13,19.043829206478154
14,18.327570469012876
15,73.84076139255582
16,95.3500444128142
17,44.042484599903574
18,31.84912923469633
19,72.42764829181921
20,64.41381906531636
21,26.09447752894189
22,52.01213434647679
23,45.08855402328354
24,11.065559286077848
