,x,y,trust
0,810.0,293.625,2.0
1,810.0,293.625,2.0
2,810.0,297.0,2.0
3,810.0,293.625,2.0
4,810.0,293.625,2.0
5,810.0,297.0,2.0
6,810.0,293.625,2.0
7,810.0,293.625,2.0
8,806.6666666666667,293.625,2.0
9,806.6666666666667,293.625,2.0
10,806.6666666666667,293.625,2.0
11,806.6666666666667,293.625,2.0
12,803.3333333333335,293.625,2.0
13,803.3333333333335,297.0,2.0
14,803.3333333333335,297.0,2.0
15,800.0,293.625,2.0
16,800.0,293.625,2.0
17,796.6666666666667,297.0,2.0
18,793.3333333333335,297.0,2.0
19,790.0,297.0,2.0
20,786.6666666666667,300.375,2.0
21,783.3333333333335,300.375,2.0
22,783.3333333333335,307.125,2.0
23,780.0,307.125,2.0
24,776.6666666666667,307.125,2.0
25,773.3333333333335,307.125,2.0
26,763.3333333333335,307.125,2.0
27,760.0,310.5,2.0
28,756.6666666666667,310.5,2.0
29,753.3333333333335,310.5,2.0
30,750.0,310.5,2.0
31,740.0,307.125,2.0
32,736.6666666666667,310.5,2.0
33,733.3333333333335,307.125,2.0
34,730.0,307.125,2.0
35,726.6666666666667,307.125,2.0
36,726.6666666666667,307.125,2.0
37,716.6666666666667,307.125,2.0
38,713.3333333333335,307.125,2.0
39,710.0,303.75,2.0
40,706.6666666666667,307.125,2.0
41,703.3333333333335,307.125,2.0
42,696.6666666666667,303.75,2.0
43,696.6666666666667,303.75,2.0
44,690.0,307.125,2.0
45,686.6666666666667,303.75,2.0
46,686.6666666666667,303.75,2.0
47,683.3333333333334,303.75,2.0
48,680.0,307.125,2.0
49,676.6666666666667,303.75,2.0
50,673.3333333333334,303.75,2.0
51,670.0,303.75,2.0
52,,,0.0
53,666.6666666666667,307.125,2.0
54,,,0.0
55,666.6666666666667,307.125,2.0
56,663.3333333333334,303.75,2.0
57,660.0,300.375,2.0
58,660.0,300.375,2.0
59,656.6666666666667,297.0,2.0
60,656.6666666666667,297.0,2.0
61,656.6666666666667,297.0,2.0
62,656.6666666666667,300.375,2.0
63,656.6666666666667,297.0,2.0
64,653.3333333333334,293.625,2.0
65,,,0.0
66,,,0.0
67,,,0.0
68,,,0.0
69,,,0.0
70,,,0.0
71,,,0.0
72,,,0.0
73,,,0.0
74,,,0.0
75,,,0.0
76,,,0.0
77,,,0.0
78,,,0.0
79,,,0.0
80,,,0.0
81,,,0.0
82,,,0.0
83,,,0.0
84,,,0.0
85,,,0.0
86,,,0.0
87,,,0.0
88,,,0.0
89,,,0.0
90,,,0.0
91,,,0.0
92,,,0.0
93,,,0.0
94,,,0.0
95,,,0.0
96,576.6666666666667,317.25,2.0
97,,,0.0
98,566.6666666666667,327.375,2.0
99,570.0,334.125,2.0
100,570.0,337.5,2.0
101,,,0.0
102,566.6666666666667,351.0,2.0
103,566.6666666666667,357.75,2.0
104,566.6666666666667,357.75,2.0
105,,,0.0
106,,,0.0
107,,,0.0
108,,,0.0
109,566.6666666666667,384.75,2.0
110,,,0.0
111,,,0.0
112,,,0.0
113,,,0.0
114,,,0.0
115,,,0.0
116,,,0.0
117,,,0.0
118,,,0.0
119,,,0.0
120,,,0.0
121,,,0.0
122,,,0.0
123,,,0.0
124,,,0.0
125,,,0.0
126,,,0.0
127,,,0.0
128,,,0.0
129,,,0.0
130,,,0.0
131,,,0.0
132,,,0.0
133,,,0.0
134,,,0.0
135,,,0.0
136,,,0.0
137,,,0.0
138,,,0.0
139,,,0.0
140,,,0.0
141,,,0.0
142,,,0.0
143,,,0.0
144,,,0.0
145,826.6666666666667,573.75,2.0
146,813.3333333333335,573.75,2.0
147,826.6666666666667,577.125,2.0
148,826.6666666666667,577.125,2.0
149,833.3333333333335,580.5,2.0
150,840.0,577.125,2.0
151,850.0,587.25,2.0
152,863.3333333333335,594.0,2.0
153,870.0,594.0,2.0
154,876.6666666666667,597.375,2.0
155,886.6666666666667,600.75,2.0
156,893.3333333333335,594.0,2.0
157,906.6666666666667,597.375,2.0
158,920.0,594.0,2.0
159,926.6666666666667,580.5,2.0
160,943.3333333333335,577.125,2.0
161,953.3333333333335,573.75,2.0
162,963.3333333333335,567.0,2.0
163,970.0,560.25,2.0
164,973.3333333333335,553.5,2.0
165,986.6666666666667,550.125,2.0
166,990.0,550.125,2.0
167,990.0,550.125,2.0
168,,,0.0
169,990.0,553.5,2.0
170,990.0,556.875,2.0
171,,,0.0
172,,,0.0
173,,,0.0
174,986.6666666666667,570.375,2.0
175,,,0.0
176,,,0.0
177,,,0.0
178,963.3333333333335,573.75,2.0
179,953.3333333333335,577.125,2.0
180,943.3333333333335,580.5,2.0
181,926.6666666666667,583.875,2.0
182,920.0,580.5,2.0
183,913.3333333333335,590.625,2.0
184,903.3333333333335,594.0,2.0
185,896.6666666666667,597.375,2.0
186,893.3333333333335,600.75,2.0
187,893.3333333333335,597.375,2.0
188,873.3333333333335,604.125,2.0
189,916.6666666666667,590.625,2.0
190,,,0.0
191,,,0.0
192,,,0.0
193,870.0,607.5,2.0
194,853.3333333333335,607.5,2.0
195,816.6666666666667,617.625,2.0
196,813.3333333333335,614.25,2.0
197,806.6666666666667,604.125,2.0
198,806.6666666666667,604.125,2.0
199,800.0,600.75,2.0
200,796.6666666666667,594.0,2.0
201,793.3333333333335,594.0,2.0
202,790.0,590.625,2.0
203,790.0,587.25,2.0
204,793.3333333333335,580.5,2.0
205,796.6666666666667,580.5,2.0
206,803.3333333333335,580.5,2.0
207,810.0,583.875,2.0
208,826.6666666666667,573.75,2.0
209,843.3333333333335,583.875,2.0
210,850.0,590.625,2.0
211,856.6666666666667,583.875,2.0
212,856.6666666666667,590.625,2.0
213,873.3333333333335,597.375,2.0
214,873.3333333333335,600.75,2.0
215,873.3333333333335,604.125,2.0
216,873.3333333333335,610.875,2.0
217,880.0,624.375,2.0
218,900.0,634.5,2.0
219,916.6666666666667,654.75,2.0
220,916.6666666666667,661.5,2.0
221,903.3333333333335,648.0,2.0
222,916.6666666666667,658.125,2.0
223,923.3333333333335,661.5,2.0
